,road_segment_id,road_segment_length,ST_NAME,speed_category,funclass_name,geometry,direction,ST_TYPE,ST_PRE,From,To,To_2,To_3,To_4
7291,1240471942,0.034796776,Fort Worth,45,Arterial,"MULTILINESTRING ((2383461.312129725 7113327.129746726, 2383591.171289857 7113459.794162643))",NE,Dr,,,,,,
7292,1240473560,0.093827021,Fort Worth,45,Arterial,"MULTILINESTRING ((2377835.264776961 7107003.993210254, 2378002.4956265176 7107329.951524402, 2378062.2101580487 7107447.144988972))",NE,Dr,,,,,,
7293,1240473561,0.265946788,Fort Worth,45,Arterial,"MULTILINESTRING ((2378062.2101580487 7107447.144988972, 2378127.997617774 7107568.054486959, 2378214.878970012 7107714.702645218, 2378352.988215806 7107923.859081217, 2378503.4276878187 7108125.896378542, 2378618.029613449 7108258.345202959, 2378780.9371075425 7108442.350329287, 2378901.749175655 7108567.6024311995))",NE,Dr,,,,,,
7294,1240473562,0.032311292,Fort Worth,45,Arterial,"MULTILINESTRING ((2377237.851305828 7105850.258010407, 2377318.528970163 7106004.101660796))",NE,Dr,,,,,,
7295,1240473563,0.03106855,Fort Worth,45,Arterial,"MULTILINESTRING ((2377318.528970163 7106004.101660796, 2377393.178393574 7106150.591821007))",NE,Dr,,,,,,
7296,1240476928,0.019883872,Fort Worth,45,Arterial,"MULTILINESTRING ((2382247.3421316743 7112078.014222045, 2382322.8912337213 7112151.757604111))",NE,Dr,,,,,,
7297,1240476929,0.038525002,Fort Worth,45,Arterial,"MULTILINESTRING ((2382322.8912337213 7112151.757604111, 2382464.8101465306 7112299.126693179))",NE,Dr,,,,,,
7298,1240476931,0.044117341,Fort Worth,45,Arterial,"MULTILINESTRING ((2381703.892763259 7111507.049924318, 2381863.846747822 7111680.117849917))",NE,Dr,,,,,,
7299,1240655969,0.04349597,Fairway,30,Local,"MULTILINESTRING ((2377154.0568282385 7101366.5443803705, 2377233.8599180467 7101349.366259993, 2377310.371351665 7101350.3390281005, 2377377.3775594225 7101376.66066094))",E,Dr,,Links,Clubview,,,
7300,1240655970,0.172741138,Fairway,30,Local,"MULTILINESTRING ((2377154.0568282385 7101366.5443803705, 2377046.709738726 7101383.372683789, 2376945.4374552397 7101403.917026086, 2376853.4390662513 7101417.302455336, 2376749.1989584104 7101430.532701828, 2376636.0084990445 7101425.457124046, 2376535.059811479 7101420.537304706, 2376382.2680361243 7101400.406028434, 2376247.884941781 7101376.8704299815))",W,Dr,,Clubview,Links,,,
